imagePath,rating,wins,losses,draws,comparisons
1781888655680-456377004.jpg,1516,1,0,0,0
fotor-ai-202412299217.jpg,1516,1,0,0,0
1781888655673-288716780.jpg,1500,0,0,0,0
1781888655676-48833463.jpg,1500,0,0,0,0
1781888655676-511642134.jpg,1500,0,0,0,0
fotor-ai-2024122991810.jpg,1500,0,0,0,0
fotor-ai-2024122991928.jpg,1500,0,0,0,0
fotor-ai-2024122992018.jpg,1500,0,0,0,0
fotor-ai-2024122992026.jpg,1500,0,0,0,0
fotor-ai-202412299212.jpg,1500,0,0,0,0
fotor-ai-2024122992011.jpg,1500,0,0,1,0
1781888655654-166999538.jpg,1500,0,0,1,0
1781888655652-583073760.jpg,1500,0,0,0,0
1781888655672-529294279.jpg,1500,0,0,0,0
1781888655682-410396180.jpg,1484,0,1,0,0
1781888655678-690382629.jpg,1484,0,1,0,0